constituency,winner,UDF_pct,LDF_pct,NDA_pct,margin
Kasaragod,UDF,44.1,35.06,19.84,100649
Kannur,UDF,48.74,38.5,11.27,108982
Vatakara,UDF,49.65,39.45,9.98,114506
Wayanad,UDF,59.69,26.09,13.04,364422
Kozhikode,UDF,47.74,34.33,16.56,146176
Malappuram,UDF,59.35,31.69,7.85,300118
Ponnani,UDF,54.81,31.84,12.15,235760
Palakkad,UDF,40.66,33.39,24.31,75283
Alathur,LDF,38.63,40.66,18.97,20111
Thrissur,NDA,30.35,30.95,37.8,74686
Chalakudy,UDF,41.44,34.73,11.25,63754
Ernakulam,UDF,52.97,25.47,15.95,250385
Idukki,UDF,51.43,35.53,10.88,133727
Kottayam,UDF,43.6,33.17,19.74,87266
Alappuzha,UDF,38.21,32.21,28.3,63513
Mavelikkara,UDF,41.29,40.07,16.0,10868
Pathanamthitta,UDF,39.98,32.79,25.55,66119
Kollam,UDF,48.45,32.03,17.82,150302
Attingal,UDF,33.29,33.22,31.65,684
Thiruvananthapuram,UDF,37.19,26.05,35.97,16077
